,engine.oxTank.liquid.mass,engine.oxTank.liquid.density,engine.oxTank.liquid.temperature,engine.oxTank.liquid.pressure,engine.oxTank.liquid.enthalpy,engine.oxTank.liquid.internalEnergy,engine.oxTank.liquid.volume,simControl.currentTime,engine.pressurantTank.gas.mass,engine.pressurantTank.gas.density,engine.pressurantTank.gas.temperature,engine.pressurantTank.gas.pressure,engine.pressurantTank.gas.enthalpy,engine.pressurantTank.gas.internalEnergy,engine.pressurantTank.gas.volume
0,5.6,874.0868342591456,288.15,9307922.34582,194099.5719207226,183450.83316737603,0.006406686132901683,,,,,,,,
1,5.598131265328,874.0957597245139,288.14835975771825,9307922.34582,194095.9084872775,183447.2784691422,0.006404482807572875,,,,,,,,
2,5.596262530656,874.1046879478099,288.14671896093205,9307922.34582,194092.24387180418,183443.72262021355,0.006402279507040164,,,,,,,,
3,5.594393795984001,874.113618931276,288.14507760926983,9307922.34582,194088.5780734754,183440.1656198317,0.0064000762313072244,,,,,,,,
4,5.592525061312001,874.1225526766967,288.1434357023596,9307922.34582,194084.91109151245,183436.60746723769,0.006397872980381109,,,,,,,,
5,5.590656326640001,874.1314891858608,288.1417932398289,9307922.34582,194081.24292513568,183433.04816167173,0.006395669754268854,,,,,,,,
6,5.588787591968002,874.1404284605558,288.1401502213049,9307922.34582,194077.57357356427,183429.4877023733,0.00639346655297752,,,,,,,,
7,5.586918857296002,874.1493705025713,288.13850664641467,9307922.34582,194073.90303601787,183425.9260885811,0.006391263376514173,,,,,,,,
8,5.585050122624002,874.1583153136993,288.13686251478464,9307922.34582,194070.23131171466,183422.3633195331,0.006389060224885877,,,,,,,,
9,5.583181387952003,874.1672628957353,288.13521782604073,9307922.34582,194066.55839987114,183418.79939446648,0.006386857098099687,,,,,,,,
10,5.581312653280003,874.1762132504728,288.13357257980886,9307922.34582,194062.88429970472,183415.2343126177,0.0063846539961626946,,,,,,,,
11,5.579443918608003,874.1851663797108,288.1319267757143,9307922.34582,194059.20901043087,183411.66807322242,0.006382450919081962,,,,,,,,
12,5.577575183936004,874.1941222852475,288.1302804133819,9307922.34582,194055.53253126427,183408.10067551554,0.006380247866864579,,,,,,,,
13,5.575706449264004,874.2030809688836,288.1286334924367,9307922.34582,194051.85486142003,183404.53211873127,0.006378044839517634,,,,,,,,
14,5.573837714592004,874.2120424324227,288.1269860125024,9307922.34582,194048.1760001106,183400.96240210294,0.006375841837048209,,,,,,,,
15,5.571968979920005,874.2210066776687,288.1253379732032,9307922.34582,194044.49594654955,183397.39152486323,0.006373638859463403,,,,,,,,
16,5.570100245248005,874.2299737064274,288.1236893741625,9307922.34582,194040.81469994792,183393.81948624394,0.006371435906770321,,,,,,,,
17,5.568231510576005,874.2389435205077,288.12204021500315,9307922.34582,194037.13225951724,183390.2462854762,0.006369232978976058,,,,,,,,
18,5.566362775904006,874.247916121718,288.12039049534815,9307922.34582,194033.4486244681,183386.67192179032,0.006367030076087734,,,,,,,,
19,5.564494041232006,874.2568915118715,288.11874021481975,9307922.34582,194029.76379400943,183383.0963944159,0.006364827198112451,,,,,,,,
20,5.562625306560006,874.2658696927809,288.11708937303985,9307922.34582,194026.07776734998,183379.51970258163,0.006362624345057329,,,,,,,,
21,5.560756571888007,874.2748506662615,288.11543796962985,9307922.34582,194022.390543698,183375.94184551563,0.00636042151692949,,,,,,,,
22,5.558887837216007,874.2838344341299,288.11378600421125,9307922.34582,194018.7021222607,183372.36282244505,0.006358218713736064,,,,,,,,
23,5.557019102544007,874.2928209982051,288.1121334764046,9307922.34582,194015.012502244,183368.7826325964,0.0063560159354841776,,,,,,,,
24,5.555150367872008,874.301810360307,288.11048038583044,9307922.34582,194011.32168285412,183365.20127519543,0.006353813182180973,,,,,,,,
25,5.553281633200008,874.310802522258,288.10882673210887,9307922.34582,194007.6296632953,183361.61874946702,0.0063516104538335885,,,,,,,,
26,5.5514128985280085,874.3197974858831,288.1071725148593,9307922.34582,194003.93644277158,183358.0350546353,0.0063494077504491625,,,,,,,,
27,5.549544163856009,874.3287952530079,288.1055177337012,9307922.34582,194000.24202048616,183354.45018992363,0.006347205072034847,,,,,,,,
28,5.547675429184009,874.3377958254589,288.1038623882534,9307922.34582,193996.5463956418,183350.86415455464,0.006345002418597804,,,,,,,,
29,5.5458066945120095,874.346799205069,288.10220647813424,9307922.34582,193992.84956743944,183347.27694775013,0.006342799790145166,,,,,,,,
30,5.54393795984001,874.3558053936657,288.1005500029621,9307922.34582,193989.15153508025,183343.68856873113,0.0063405971866841255,,,,,,,,
31,5.54206922516801,874.3648143930853,288.0988929623543,9307922.34582,193985.45229776375,183340.09901671787,0.006338394608221827,,,,,,,,
32,5.5402004904960105,874.3738262051603,288.09723535592855,9307922.34582,193981.75185468982,183336.50829092987,0.006336192054765459,,,,,,,,
33,5.538331755824011,874.3828408317285,288.09557718330166,9307922.34582,193978.05020505667,183332.91639058577,0.006333989526322191,,,,,,,,
34,5.536463021152011,874.3918582746298,288.09391844409015,9307922.34582,193974.3473480614,183329.32331490345,0.006331787022899192,,,,,,,,
35,5.5345942864800115,874.4008785357022,288.0922591379101,9307922.34582,193970.64328290083,183325.72906310007,0.00632958454450367,,,,,,,,
36,5.532725551808012,874.4099016167903,288.0905992643775,9307922.34582,193966.9380087714,183322.13363439194,0.006327382091142794,,,,,,,,
37,5.530856817136012,874.418927519737,288.0889388231075,9307922.34582,193963.23152486785,183318.5370279946,0.006325179662823769,,,,,,,,
