,engine.oxTank.liquid.mass,engine.oxTank.liquid.density,engine.oxTank.liquid.temperature,engine.oxTank.liquid.pressure,engine.oxTank.liquid.enthalpy,engine.oxTank.liquid.internalEnergy,engine.oxTank.liquid.volume,simControl.currentTime
0,8.903,874.0868342591456,288.15,9307922.34582,194099.5719207226,183450.83316737603,0.010185486900218517,0
1,8.901131265328,874.0924477101388,288.14896841571164,9307922.34582,194097.26790061302,183448.5975338674,0.010183283574462068,0.001
2,8.899262530656001,874.0980622516076,288.14793661212,9307922.34582,194094.9634130458,183446.3614452638,0.01018108026430376,0.002
3,8.897393795984001,874.1036778844539,288.146904589133,9307922.34582,194092.65845777895,183444.1249013767,0.010178876969741032,0.003
4,8.895525061312002,874.1092946091234,288.14587234665765,9307922.34582,194090.35303461805,183441.88790201736,0.01017667369077665,0.004
5,8.893656326640002,874.1149124260609,288.1448398846016,9307922.34582,194088.04714336921,183439.65044699705,0.01017447042741339,0.005
6,8.891787591968003,874.1205313357088,288.14380720287244,9307922.34582,194085.74078383917,183437.41253612682,0.010172267179654063,0.006
7,8.889918857296003,874.1261513385115,288.1427743013774,9307922.34582,194083.43395583384,183435.17416921764,0.010170063947501463,0.007
8,8.888050122624003,874.131772434915,288.14174118002376,9307922.34582,194081.12665915923,183432.93534608037,0.010167860730958362,0.008
9,8.886181387952004,874.1373946253639,288.14070783871864,9307922.34582,194078.8188936207,183430.6960665257,0.01016565753002756,0.009000000000000001
10,8.884312653280004,874.1430179103046,288.13967427736935,9307922.34582,194076.5106590241,183428.4563303643,0.01016345434471184,0.010000000000000002
11,8.882443918608004,874.1486422901809,288.13864049588295,9307922.34582,194074.20195517543,183426.21613740662,0.010161251175014013,0.011000000000000003
12,8.880575183936005,874.1542677654393,288.13760649416656,9307922.34582,194071.89278187987,183423.97548746306,0.01015904802093687,0.012000000000000004
13,8.878706449264005,874.1598943365263,288.1365722721272,9307922.34582,194069.5831389426,183421.73438034384,0.010156844882483203,0.013000000000000005
14,8.876837714592005,874.1655220038892,288.13553782967153,9307922.34582,194067.27302616875,183419.49281585915,0.0101546417596558,0.014000000000000005
15,8.874968979920006,874.171150767973,288.13450316670685,9307922.34582,194064.9624433637,183417.25079381897,0.010152438652457482,0.015000000000000006
16,8.873100245248006,874.176780629227,288.13346828313956,9307922.34582,194062.65139033194,183415.00831403318,0.010150235560891018,0.016000000000000007
17,8.871231510576006,874.1824115880962,288.13243317887685,9307922.34582,194060.33986687928,183412.7653763116,0.010148032484959237,0.017000000000000008
18,8.869362775904007,874.1880436450302,288.131397853825,9307922.34582,194058.02787280906,183410.5219804639,0.010145829424664916,0.01800000000000001
19,8.867494041232007,874.1936768004745,288.13036230789106,9307922.34582,194055.71540792726,183408.2781262996,0.01014362638001089,0.01900000000000001
20,8.865625306560007,874.1993110548792,288.12932654098125,9307922.34582,194053.40247203724,183406.03381362814,0.010141423350999934,0.02000000000000001
21,8.863756571888008,874.2049464086923,288.1282905530023,9307922.34582,194051.08906494378,183403.78904225878,0.010139220337634862,0.02100000000000001
22,8.861887837216008,874.2105828623626,288.12725434386056,9307922.34582,194048.775186451,183401.54381200072,0.010137017339918477,0.022000000000000013
23,8.860019102544008,874.216220416339,288.1262179134625,9307922.34582,194046.4608363629,183399.29812266302,0.010134814357853588,0.023000000000000013
24,8.858150367872009,874.2218590710696,288.1251812617145,9307922.34582,194044.14601448402,183397.05197405463,0.010132611391443013,0.024000000000000014
25,8.856281633200009,874.2274988270054,288.12414438852284,9307922.34582,194041.83072061764,183394.8053659844,0.01013040844068955,0.025000000000000015
26,8.85441289852801,874.2331396845956,288.12310729379374,9307922.34582,194039.51495456768,183392.558298261,0.010128205505596012,0.026000000000000016
27,8.85254416385601,874.2387816442903,288.1220699774333,9307922.34582,194037.19871613785,183390.310770693,0.010126002586165214,0.027000000000000017
28,8.85067542918401,874.2444247065405,288.1210324393477,9307922.34582,194034.88200513137,183388.0627830889,0.010123799682399959,0.028000000000000018
29,8.84880669451201,874.2500688717959,288.11999467944287,9307922.34582,194032.5648213516,183385.81433525705,0.010121596794303073,0.02900000000000002
30,8.84693795984001,874.2557141405082,288.118956697625,9307922.34582,194030.2471646021,183383.56542700567,0.010119393921877362,0.03000000000000002
31,8.845069225168011,874.2613605131273,288.1179184937999,9307922.34582,194027.92903468583,183381.3160581428,0.010117191065125654,0.03100000000000002
32,8.843200490496011,874.2670079901064,288.1168800678734,9307922.34582,194025.6104314056,183379.0662284765,0.010114988224050752,0.03200000000000002
33,8.841331755824012,874.2726565718968,288.1158414197514,9307922.34582,194023.29135456448,183376.81593781456,0.010112785398655476,0.03300000000000002
34,8.839463021152012,874.2783062589497,288.1148025493397,9307922.34582,194020.9718039651,183374.56518596478,0.010110582588942657,0.03400000000000002
35,8.837594286480012,874.2839570517178,288.11376345654384,9307922.34582,194018.65177941034,183372.31397273476,0.010108379794915108,0.035000000000000024
36,8.835725551808013,874.2896089506546,288.11272414126944,9307922.34582,194016.33128070217,183370.062297932,0.010106177016575643,0.036000000000000025
37,8.833856817136013,874.2952619562124,288.1116846034222,9307922.34582,194014.01030764316,183367.81016136386,0.010103974253927093,0.037000000000000026
38,8.831988082464013,874.3009160688437,288.1106448429076,9307922.34582,194011.68886003603,183365.5575628376,0.010101771506972286,0.03800000000000003
39,8.830119347792014,874.3065712890028,288.10960485963096,9307922.34582,194009.36693768232,183363.30450216035,0.01009956877571404,0.03900000000000003
