,engine.pressurantTank.gas.mass,engine.pressurantTank.gas.density,engine.pressurantTank.gas.temperature,engine.pressurantTank.gas.pressure,engine.pressurantTank.gas.enthalpy,engine.pressurantTank.gas.internalEnergy,engine.pressurantTank.gas.volume,simControl.currentTime
0,1.911,374.3882243409955,288.15,39989592.300560005,254922.3883421915,148109.22035440154,0.005104327208377813,0
1,1.909131265328,374.51962920002643,288.04810985436876,39989592.300560005,254780.35858423368,148004.6673181227,0.005097546607652855,0.001
2,1.9072625306559998,374.6511840059624,287.94617661814465,39989592.300560005,254638.24667047223,147900.04856050975,0.0050907687258921,0.002
3,1.9053937959839997,374.78288903569614,287.8442002336266,39989592.300560005,254496.05247525932,147795.3639687689,0.005083993564611539,0.003
4,1.9035250613119996,374.91474457363665,287.74218063769734,39989592.300560005,254353.77586698852,147690.61342978515,0.005077221125236727,0.004
5,1.9016563266399995,375.0467509049557,287.6401177670613,39989592.300560005,254211.4167136998,147585.7968301281,0.005070451409194896,0.005
6,1.8997875919679994,375.17890831559316,287.5380115582438,39989592.300560005,254068.9748830778,147480.91405605085,0.005063684417914919,0.006
7,1.8979188572959993,375.31121709225266,287.43586194759473,39989592.300560005,253926.45024245724,147375.96499348892,0.00505692015282742,0.007
8,1.8960501226239992,375.4436775224187,287.33366887127664,39989592.300560005,253783.84265880563,147270.9495280587,0.005050158615364567,0.008
9,1.894181387951999,375.5762898943425,287.2314322652777,39989592.300560005,253641.15199874112,147165.8675450566,0.005043399806960318,0.009000000000000001
10,1.892312653279999,375.70905449705066,287.12915206540595,39989592.300560005,253498.37812852373,147060.7189294576,0.00503664372905033,0.010000000000000002
11,1.8904439186079989,375.84197162036156,287.0268282072783,39989592.300560005,253355.52091404021,146955.50356591408,0.005029890383071794,0.011000000000000003
12,1.8885751839359988,375.97504155486666,286.9244606263364,39989592.300560005,253212.58022082603,146850.22133875452,0.005023139770463716,0.012000000000000004
13,1.8867064492639987,376.1082645919454,286.822049257836,39989592.300560005,253069.55591404892,146744.87213198238,0.005016391892666758,0.013000000000000005
14,1.8848377145919986,376.24164102376574,286.71959403684883,39989592.300560005,252926.4478585128,146639.45582927475,0.005009646751123278,0.014000000000000005
15,1.8829689799199985,376.3751711432908,286.6170948982587,39989592.300560005,252783.2559186508,146533.97231398112,0.005002904347277276,0.015000000000000006
16,1.8811002452479983,376.5088552442678,286.5145517767705,39989592.300560005,252639.97995853802,146428.42146912214,0.004996164682574587,0.016000000000000007
17,1.8792315105759982,376.64269362124776,286.4119646068979,39989592.300560005,252496.619841874,146322.80317738824,0.004989427758462654,0.017000000000000008
18,1.8773627759039981,376.77668656959014,286.30933332296064,39989592.300560005,252353.1754319781,146217.11732113856,0.004982693576390512,0.01800000000000001
19,1.875494041231998,376.910834385439,286.20665785910353,39989592.300560005,252209.6465918163,146111.3637823995,0.0049759621378091465,0.01900000000000001
20,1.873625306559998,377.04513736575694,286.1039381492735,39989592.300560005,252066.03318396857,146005.54244286346,0.004969233444171079,0.02000000000000001
21,1.8717565718879978,377.179595808311,286.0011741272302,39989592.300560005,251922.33507064314,145899.6531838876,0.004962507496930603,0.02100000000000001
22,1.8698878372159977,377.3142100116807,285.8983657265423,39989592.300560005,251778.55211367147,145793.69588649247,0.004955784297543712,0.022000000000000013
23,1.8680191025439976,377.4489802752593,285.7955128805879,39989592.300560005,251634.68417450748,145687.67043136084,0.004949063847468131,0.023000000000000013
24,1.8661503678719975,377.5839068992575,285.6926155225527,39989592.300560005,251490.73111422584,145581.57669883614,0.004942346148163306,0.024000000000000014
25,1.8642816331999974,377.71899018470697,285.58967358542947,39989592.300560005,251346.69279352008,145475.4145689214,0.004935631201090398,0.025000000000000015
26,1.8624128985279973,377.85423043346066,285.48668700201875,39989592.300560005,251202.56907270345,145369.18392127776,0.004928919007712326,0.026000000000000016
27,1.8605441638559972,377.9896279482008,285.38365570492425,39989592.300560005,251058.35981170234,145262.88463522322,0.0049222095694937,0.027000000000000017
28,1.858675429183997,378.1251830324419,285.2805796265525,39989592.300560005,250914.06487005483,145156.5165897313,0.004915502887900827,0.028000000000000018
29,1.856806694511997,378.26089599051915,285.17745869912267,39989592.300560005,250769.68410692425,145050.07966342953,0.0049087989644019045,0.02900000000000002
30,1.8549379598399969,378.39676712761366,285.0742928546494,39989592.300560005,250625.2173810759,144943.5737345984,0.004902097800466731,0.03000000000000002
31,1.8530692251679968,378.53279674974124,284.9710820249522,39989592.300560005,250480.66455088794,144836.9986811697,0.0048953993975668995,0.03100000000000002
32,1.8512004904959967,378.6689851637599,284.86782614165173,39989592.300560005,250336.02547434715,144730.35438072536,0.004888703757175738,0.03200000000000002
33,1.8493317558239966,378.80533267737184,284.76452513616994,39989592.300560005,250191.30000904846,144623.64071049602,0.004882010880768331,0.03300000000000002
34,1.8474630211519965,378.94183959912687,284.6611789397282,39989592.300560005,250046.48801219175,144516.85754735957,0.004875320769821515,0.03400000000000002
35,1.8455942864799963,379.078506238426,284.5577874833473,39989592.300560005,249901.5893405818,144410.00476783977,0.0048686334258138805,0.035000000000000024
36,1.8437255518079962,379.21533290552327,284.4543506978462,39989592.300560005,249756.60385062566,144303.08224810511,0.004861948850225783,0.036000000000000025
37,1.8418568171359961,379.3523199115304,284.3508685138415,39989592.300560005,249611.53139833192,144196.08986396703,0.004855267044539334,0.037000000000000026
38,1.839988082463996,379.48946756841906,284.24734086174624,39989592.300560005,249466.37183930873,144089.0274908788,0.0048485880102384134,0.03800000000000003
