,engine.oxTank.liquid.mass,engine.oxTank.liquid.density,engine.oxTank.liquid.temperature,engine.oxTank.liquid.pressure,engine.oxTank.liquid.enthalpy,engine.oxTank.liquid.internalEnergy,engine.oxTank.liquid.volume,engine.pressTank.pressurantMassFlowRate,engine.pressTank.gas.mass,engine.pressTank.gas.density,engine.pressTank.gas.temperature,engine.pressTank.gas.pressure,engine.pressTank.gas.enthalpy,engine.pressTank.gas.internalEnergy,engine.pressTank.gas.volume,simControl.currentTime
2973,0.044251820144123696,986.0558810593664,263.9239133901257,9307922.34582,144309.59542596655,134870.0468926521,4.487759871842342e-05,0.23098892630420584,0.8810322090232121,209.93149488858765,200.23966539417282,10519580.434743477,156559.91004964328,106450.32339459515,0.004196760517000001,2.9729999999997836
2974,0.042383085472123695,986.9439468711673,263.70350354674196,9307922.34582,143884.89754420548,134453.84284720023,4.2943761503870146e-05,0.23102820851481015,0.8808011808146973,209.87644571254364,200.21076656724927,10514238.349527013,156534.45657297698,106437.17998802951,0.004196760517000001,2.9739999999997835
2975,0.040514350800123694,987.8710698399822,263.47294320700126,9307922.34582,143441.0366604686,134018.83306528936,4.101177981321622e-05,0.23107033689994488,0.8805701104777973,209.82138649818916,200.18186190256432,10508897.31584215,156509.00142862188,106424.03396543697,0.004196760517000001,2.9749999999997834
2976,0.03864561612812369,988.8409458068757,263.23125195109293,9307922.34582,142976.1781947608,133563.21609474916,3.9081731285499706e-05,0.2311156347464255,0.8803389948430509,209.76631649030801,200.15295100194868,10503557.260799084,156483.5442669117,106410.88514537734,0.004196760517000001,2.9759999999997833
2977,0.03677688145612369,989.8578261041114,262.97730003946515,9307922.34582,142488.2097266855,133084.91755648135,3.715370075000606e-05,0.23116447955210456,0.8801078303634988,209.71123484373427,200.12403341996898,10498218.102900745,156458.0846967582,106397.73332491372,0.004196760517000001,2.976999999999783
2978,0.03490814678412369,990.9266352653598,262.70977645956935,9307922.34582,141974.68178534688,132581.5319652016,3.522778129258344e-05,0.23121731544397417,0.8798766130480549,209.65614060747578,200.09510865558616,10492879.750521118,156432.62227833713,106384.5782758188,0.004196760517000001,2.977999999999783
2979,0.03303941211212369,992.0531217481526,262.42714794045327,9307922.34582,141432.73195746465,132050.24815516808,3.33040755457763e-05,0.23127466929680648,0.879645338378758,209.60103270499718,200.06617614179697,10487542.100015199,156407.15651400352,106371.41973986328,0.004196760517000001,2.978999999999783
2980,0.03117067744012369,993.2440534609192,262.12760568739446,9307922.34582,140858.9863316972,131487.75243063626,3.1382697265098855e-05,0.23133717194196501,0.879414001206816,209.54590990944928,200.03723523261934,10482205.033343859,156381.68683687825,106358.25742289679,0.004196760517000001,2.979999999999783
2981,0.029301942768123687,994.5074751196984,261.8089951392294,9307922.34582,140249.42963369074,130890.10094216959,2.9463773275909185e-05,0.23140558649966306,0.8791825956203163,209.4907708121474,200.00828518653208,10476868.415051073,156356.2125963233,106345.09098731558,0.004196760517000001,2.9809999999997827
2982,0.027433208096123686,995.8530525288929,261.46872181169084,9307922.34582,139599.23129472774,130252.54874735497,2.7547445907264274e-05,0.23148084687392423,0.8789511147734423,209.43561378187692,199.9793251450948,10471532.08836055,156330.73303918872,106331.92004233872,0.004196760517000001,2.9819999999997826
